order	file	sha256	phase	action	dependency	note
35	20260421091232_9adcfd7c-462a-4788-b85d-16d2dd8fc036.sql	642b7ef7146693a8b8bb460635d17cf621a2cd60f28a20fb59d6b2eefed36155	data_reconciliation	POST_IMPORT_REVIEW	provider_products tracking sales lines	Backfills links after data import; run only after reconciled source data exists.
36	20260421105824_8a7e26f2-3e84-45ee-977c-bd4883d5a782.sql	151c1368e4a0d7cdaee805035e34007d292c6e5da7efedd6a367b3dbc5c49d07	legacy_platform	EXCLUDE_CLOUDFLARE_TARGET	pg_cron and pg_net	Cloudflare target owns scheduling and outbound HTTP.
37	20260424053057_69997864-5990-4304-8279-e17b3113a499.sql	00c8ea813e3f05428a44afb591888b2c3c7d22d699e0149f1d85a1b45c49b3e9	core_schema	INCLUDE	pos_connections	Sets the default sync frequency to five minutes.
38	20260428132804_3f32978d-10f7-4418-a01e-c61965349dd2.sql	7739e8348bb67803a681e61f9fea8e13a69db31546fed63292a08a1b88162f4b	client_config	EXCLUDE_OPERATIONAL	Luruna row	Enables one production connection.
39	20260428133052_70265f3b-4c2c-402e-a322-c20f01e0e732.sql	37b3c46a7d9885d424dc10d0b260432e4bca4dcd3c86ebe33b9c3908f82b5659	operational_repair	EXCLUDE_OPERATIONAL	Luruna row and queue	Changes VAT and requeues family migration.
40	20260428133331_53fe788f-d01f-4800-9fd3-7c8c930f13c4.sql	84eee412aebeaf4260b7f18acee1d939233a37126aead75d207993f2d796204c	operational_repair	EXCLUDE_OPERATIONAL	Luruna queue	Requeues failed family migration.
41	20260428133635_646bd540-33d8-43e0-adb9-e24d70adaf1f.sql	fe2c6136fef5b5b630919c41cdf701d343afbdefea72f12990d7526bc6de3e07	operational_repair	EXCLUDE_OPERATIONAL	Luruna queue	Repeats the same requeue.
42	20260428134418_c02b90ef-769d-41f9-9620-3d42ed9c52c9.sql	b7f41a7b8a018023a97e7f7c758e7f1529f7ac6b79a28b97e8aebd2e002728ff	operational_repair	EXCLUDE_OPERATIONAL	Luruna queue	Marks migration tasks successful by business decision.
43	20260428142335_978a281f-b0f8-408a-8daa-8b8d58764b08.sql	e54f7c0816c2b703e9c0fa1696148a3219ee99d7d180a44a8782eaefcee9ba2e	client_config	EXCLUDE_OPERATIONAL	Luruna and Sa Vida rows	Enables automatic catalog behavior for two clients.
44	20260502144948_52528579-2f42-4061-83c0-6ed437618a58.sql	83cbb56ad660656b47b3b2e90d50f2973f87ac7b9c076140999a33e82563cc95	legacy_runtime	EXCLUDE_CLOUDFLARE_TARGET	pg_net and service key argument	Database function continues catalog work through HTTP recursion.
45	20260502145037_fd1dea7b-1067-4fd7-b459-9826cf4c39e9.sql	8f72cf8cc509a69ba9f70c91883bc70391a95853b04b12731323f7c09022ee63	operational_repair	EXCLUDE_OPERATIONAL	outbound task data	Marks legacy queued tasks failed.
46	20260502145049_9645eabd-96fc-46cb-9515-bba2bf57a18a.sql	7a6a912b6d949b387955518d73f040ab6c4278a0c5c2e20d842243abcb8b813f	operational_repair	EXCLUDE_OPERATIONAL	tracking and task data	Resets orphaned queued tracking rows.
47	20260502151515_a224665d-b9a5-4221-9379-a2a141b7cb33.sql	1a581e2b0c19b4c7fd27560c7b9208987e7e09b0bf312a67b6258790726ff3fd	client_config	EXCLUDE_OPERATIONAL	Sa Vida Sa Pedrera Luruna Kava rows	Changes capabilities, push flags and tracking status.
48	20260504105651_e2b61735-15cf-4f92-9546-aee13d483b07.sql	0f9c646e4b6477ca44d236fa85f6a23a8999b04b204689c6a94eac4e46fd7be0	legacy_runtime	EXCLUDE_CLOUDFLARE_TARGET	pg_cron jobs	Unschedules named jobs and can fail on an empty database.
49	20260504113900_d28912e2-0508-4a66-99b6-ffc2df584dd4.sql	7d294885b5e1626f432c9aaed4a65d0c3411a6c47f07700c474022cb094eb1f4	core_schema	INCLUDE	outbound_tasks pos_connections	Adds queue lookup indexes, backoff and circuit breaker state.
50	20260504130209_92cbc001-ce2d-4b8e-a21b-6e6996719f71.sql	b4c5f79310035983eb3e31d8182b4579bf3dbcfb5235ac7ac0016de55c946206	core_function	INCLUDE_SECURITY_GATE	outbound_tasks	Creates SECURITY DEFINER rescue function without explicit EXECUTE revocation.
51	20260518132229_3dbd00c1-b6f0-417d-a80f-95258e1b9dbd.sql	e3481eb473f2f57f42a7c7649ee06886c61a02815114985c227e8c4e261a29ff	client_config	EXCLUDE_OPERATIONAL	Kava row	Marks write capability yes.
52	20260518133223_56032e3e-0542-425f-955e-f52c7af95c13.sql	e3481eb473f2f57f42a7c7649ee06886c61a02815114985c227e8c4e261a29ff	client_config	EXCLUDE_OPERATIONAL	Kava row	Duplicate of migration 51 under a new timestamp.
53	20260518133253_0bde64ac-0499-4fe6-ad51-050b919c6817.sql	acf45367e8a291fe48c34a8629be826290c557856df96c5cf16ca6f7ccc1e21d	client_config	EXCLUDE_OPERATIONAL	Kava row	Marks auto push verified.
54	20260518155104_c7bc41af-a5ea-44c3-b394-f10f60775108.sql	04581a394ba3d703b234acb182796aa3435e413f8561d05617f8d214bf679bf3	operational_repair	EXCLUDE_OPERATIONAL	one production task row	Blocks a runaway task.
55	20260518155621_7b9662ac-1f75-4166-a735-113d0d587815.sql	ba57fa82b676a1377fe14a37eecc186b8743585677ec5b45cc94f63453df50c9	operational_repair	EXCLUDE_OPERATIONAL	one production task row	Repeats the block with next_retry_at reset.
56	20260519052344_1f469ce0-8804-493d-b247-d43d65e94331.sql	385a6fd7af915b432aabe561945feb3b4e98cc6c2269e9de8247ac152ec2ec57	client_config	EXCLUDE_OPERATIONAL	Luruna row	Marks write capability yes.
57	20260519092613_11894c88-dba3-4b2e-ad0d-bb81f7a7211b.sql	88ae4d17ed6d044533197c1b95c9980341e5ac3da1d9daf31b1e7ca71691000c	client_config	EXCLUDE_OPERATIONAL	one production connection row	Enables five minute catalog and glass push.
58	20260522060615_0e8d5b46-b3c2-447c-8388-4f812fd392bb.sql	97892149a68305df9140b05db8dd05709d9cdadc30dd878c9f45e2678dfa3e67	core_schema	INCLUDE	winerim_wines	Adds variant stock identifiers.
59	20260526090000_stock_sync_variant_idempotency.sql	4d87793acffc67adf80421671346d6c1e99d0a71812707482d8ca9563b363694	core_schema_function	INCLUDE_SECURITY_GATE	stock_sync_log outbound_tasks	Adds variant idempotency and SECURITY DEFINER atomic task claim without EXECUTE revocation.
60	20260526091000_user_roles_has_role.sql	67409494c7ff9238ffbffadfe70facfffb6d1b9e9a963ea2f57ed7d0b430a041	auth_schema	INCLUDE_SECURITY_GATE	pos_connections identity provider contract	Creates user_roles and SECURITY DEFINER has_role; no auth.users FK, RLS policies or EXECUTE revocation.
61	20260625044943_connection_health_monitor.sql	6e7a087eb337e6bad92c23abca2bb78ee92ab12723022122ac847f832da150c5	control_plane_schema_mixed	MATERIALIZED_PORTABLE	0002_release_schema_addendum.sql	Health tables are materialized without the conflicting legacy contacts table or pg_net helper.
62	20260625071127_29af3b55-ae05-4175-a786-5d0b54aa740e.sql	13543349a6098a5f38e9742a7b3fc13f6b96178f941599b14d8ef31f98a4ec5c	migration_history_noop	EXCLUDE_NOOP	20260625044943_connection_health_monitor.sql	Remote migration-id placeholder containing only SELECT 1.
63	20260625072756_secure_connection_health_monitor_cron.sql	a9c81541b48437cc640c40813862060af2760c86883116ce3b79593b587639a6	legacy_platform_runtime	EXCLUDE_CLOUDFLARE_TARGET	pg_net	Worker runtime owns outbound HTTP and scheduling.
64	20260625073417_a9f5092e-e4f6-49fa-a9ee-1f7fbe353f8d.sql	acaebe550c246a34b0fad3c18fad0033eef4809e1e232d963eacf266cf6323b2	migration_history_noop	EXCLUDE_NOOP	20260625072756_secure_connection_health_monitor_cron.sql	Remote migration-id placeholder containing only SELECT 1.
65	20260629151602_connection_notification_contacts.sql	da1de7d495214f2b86207e28cd6708cec22e734e1245989d8b65eca2f60e9a07	control_plane_schema	INCLUDE_SECURITY_GATE	service_role update_updated_at_column	Creates backend-only contacts; service_role must be designed for independent Postgres.
66	20260630063407_integration_onboarding_requests.sql	100e26c0369fc3db85e2b00c5da4b95be4c56c82c07344649ebf833907d913a8	control_plane_schema	INCLUDE_SECURITY_GATE	service_role pos_connections update_updated_at_column	Creates sanitized onboarding requests; service_role must be designed.
67	20260713073627_add_agora_provider_sold_at_to_sales_lines.sql	3545354ddc71a23671286446c30c16dc860da92678008a08e6077fad79fb822b	core_schema	MATERIALIZED_PORTABLE	0002_release_schema_addendum.sql	Provider sale timestamp columns and partial index are materialized once in the portable addendum.
68	20260713110809_c7a17c71-be45-4265-a5c9-182005e19599.sql	85291b08ab331bfd1f47763081548bd45fb08307e591ff014cc3847dc47dfc58	duplicate_schema	EXCLUDE_DUPLICATE	20260713073627_add_agora_provider_sold_at_to_sales_lines.sql	Duplicate provider_sold_at schema migration.
69	20260714143100_ed348caa-2bef-4cf3-8de9-919f99832484.sql	cb11978ef0c5daecfdb58680d3f87ab338098326e6319ca65f5ad423075b46ad	operational_repair	EXCLUDE_OPERATIONAL	three production outbound_tasks UUIDs	Requeues named production tasks and is never bootstrap.
70	20260715044848_e842e48a-a0f4-43a3-a52e-f77b556fd460.sql	7577a91d49cca71a2e893f396be8f83bf8c052bb352008ce96b718fa28ad0eeb	data_reconciliation	POST_IMPORT_REVIEW	sales_events imported data	Refund classification and provider_doc_id rewrite require an imported-data diff and backup.
71	20260715090000_agora_refund_sales_guard.sql	df8f25216bb85b5c96638f55accdebef98ee76f6bbf820b5fe49155bcbb8c0f7	duplicate_data_reconciliation	EXCLUDE_DUPLICATE	20260715044848_e842e48a-a0f4-43a3-a52e-f77b556fd460.sql	Duplicate refund reconciliation migration.
72	20260716073810_7228e9d1-4322-4852-8f43-6181cf8ab9d5.sql	79be1af5ba32fe5bebcefc8a14e386a5a02cde13e8b37e47858e3e6cd6be7c19	core_schema_function	MATERIALIZED_PORTABLE	0002_release_schema_addendum.sql	Dispatcher lock table and functions are materialized with middleware_runtime privileges.
73	20260716074136_2e472ece-158f-4c6b-a46c-806487c539ba.sql	44fd94e33dc8735d783491704c830da59bbb77b67b10b325e0c05e18b48a6fbf	core_function_fix	MATERIALIZED_PORTABLE	0002_release_schema_addendum.sql	Final null-safe acquire function body is materialized in the portable addendum.
74	20260716110655_preserve_stock_sync_log_on_sales_line_refresh.sql	cdb41d71666cd429224f605b55f602fbd212d71720d40607ac7f768ba3dc9056	core_schema_constraint	MATERIALIZED_PORTABLE	0002_release_schema_addendum.sql	Durable stock log FK is materialized as ON DELETE SET NULL.
75	20260716122252_a02d0c1d-077e-4365-b2a8-f3929a44f259.sql	1da815220c645a51be1bfb86d6db955a78ea0b7d684ca47a69c74dcc409e1401	duplicate_schema	EXCLUDE_DUPLICATE	20260716110655_preserve_stock_sync_log_on_sales_line_refresh.sql	Duplicate stock log FK migration.
76	20260730152659_middleware_incident_alerting.sql	4d7fea1b83840aba486c805f8dccd48afe9ee7785fcf4f2d097673d055af5cd9	control_plane_schema	INCLUDE_SECURITY_GATE	authenticated service_role pos_connections update_updated_at_column	Creates incident tables; operator visibility is global rather than connection scoped.
77	20260803203800_runtime_canary_prepared_abort.sql	3684c1a3a3c3ce30ce51a158b390778bb405606e0b61cca8bb2354fa23638e25	runtime_control_plane_fix	INCLUDE_SECURITY_GATE	0003_runtime_connection_credentials.sql 0005_runtime_canary_connection_scope.sql	Allows fail-closed abort of prepared canary credentials and scopes without activation; applies immutable terminal lifecycle guards.
